BASE	ESQUEMA	TABLA	FILAS	LINEAS	ESTADO
dwh	dwh	datos_in_pre_oct11	40519441	40519442	OK
dwh	dwh	datos_in_pre_oct12	40317253	40317254	OK
dwh	dwh	datos_in_pre_oct13	38092347	38092348	OK
dwh	dwh	datos_in_pre_oct14	38881137	38881138	OK
dwh	dwh	datos_in_pre_oct15	41719218	41719219	OK
dwh	dwh	datos_in_pre_oct16	40310710	40310711	OK
dwh	dwh	datos_in_pre_oct17	41877263	41877264	OK
dwh	dwh	datos_in_pre_oct18	40730736	40730737	OK
dwh	dwh	datos_in_pre_oct19	40484269	40484270	OK
dwh	dwh	deposito_max	35	36	OK
dwh	dwh	descuento	103	104	OK
dwh	dwh	descuento_maxicarga	4	5	OK
dwh	dwh	dia_estado	1001	1002	OK
dwh	dwh	dia_semana	8	9	OK
dwh	dwh	dia_sub_estado	1001	1002	OK
dwh	dwh	dimensiones_telefono	53	54	OK
dwh	dwh	direccion_llamada	6	7	OK
dwh	dwh	direccion_roaming	6	7	OK
dwh	dwh	direccion_sms	4	5	OK
dwh	dwh	distribuidor_tarjeta	307	308	OK
dwh	dwh	dominio_wap	25181742	25181743	OK
dwh	dwh	dual_sim	5	6	OK
dwh	dwh	dw_log_process_sql	920132	920133	OK
dwh	dwh	egprs	5	6	OK
dwh	dwh	email	5	6	OK
dwh	dwh	entidad_emisora_tc_ch	1590	1591	OK
dwh	dwh	equipo	1289	1290	OK
dwh	dwh	equipo_uso	181337	181338	OK
dwh	dwh	estado_apr_linea	15	16	OK
dwh	dwh	estado_cheque	7	8	OK
dwh	dwh	estado_cheque_max	7	8	OK
dwh	dwh	estado_cliente	7	8	OK
dwh	dwh	estado_factura	8	9	OK
dwh	dwh	estado_factura_max	7	8	OK
dwh	dwh	estado_grup_fact	12	13	OK
dwh	dwh	estado_linea	34	35	OK
dwh	dwh	estado_lote_tarjeta	18	19	OK
dwh	dwh	estado_medio_pago	8	9	OK
dwh	dwh	estado_nro_especial	17	18	OK
dwh	dwh	estado_operacion	14	15	OK
dwh	dwh	estado_pago	6	7	OK
dwh	dwh	estado_pago_max	4	5	OK
dwh	dwh	estado_pedido	8	9	OK
dwh	dwh	estado_qbox	21	22	OK
dwh	dwh	estado_servicio	4	5	OK
dwh	dwh	estado_trans	14	15	OK
dwh	dwh	est_fact_pagado_max	4	5	OK
dwh	dwh	est_port	5	6	OK
dwh	dwh	es_activacion_servicio	4	5	OK
dwh	dwh	es_conciliable	4	5	OK
dwh	dwh	es_rbt	4	5	OK
dwh	dwh	es_roaming	4	5	OK
dwh	dwh	es_servicio_combinable	4	5	OK
dwh	dwh	es_servicio_mandatorio	4	5	OK
dwh	dwh	es_servicio_renovable	4	5	OK
dwh	dwh	es_servicio_tasable	4	5	OK
dwh	dwh	es_tasacion_flat	4	5	OK
dwh	dwh	fabricante	6104	6105	OK
dwh	dwh	fct_access_wap	0	1	OK
dwh	dwh	fct_access_wap_2010_02	28256914	28256915	OK
dwh	dwh	fct_access_wap_2010_03	38658722	38658723	OK
dwh	dwh	fct_access_wap_2010_04	33952363	33952364	OK
dwh	dwh	fct_access_wap_2010_05	33275412	33275413	OK
dwh	dwh	fct_access_wap_2010_06	28506142	28506143	OK
dwh	dwh	fct_access_wap_2010_07	32957830	32957831	OK
dwh	dwh	fct_access_wap_2010_08	32796017	32796018	OK
dwh	dwh	fct_access_wap_2010_09	40866443	40866444	OK
dwh	dwh	fct_access_wap_2010_10	43726059	43726060	OK
dwh	dwh	fct_access_wap_2010_11	31637445	31637446	OK
dwh	dwh	fct_access_wap_2010_12	31599456	31599457	OK
dwh	dwh	fct_access_wap_2011_01	2373099	2373100	OK
dwh	dwh	fct_access_wap_2011_02	65439287	65439288	OK
dwh	dwh	fct_access_wap_2011_08	215679058	215679059	OK
dwh	dwh	fct_access_wap_2011_09	221712300	221712301	OK
dwh	dwh	fct_access_wap_2011_10	269603759	269603760	OK
dwh	dwh	fct_access_wap_2012_05	7243660	7243661	OK
dwh	dwh	fct_access_wap_2012_06	9077096	9077097	OK
dwh	dwh	fct_access_wap_2012_07	10402479	10402480	OK
dwh	dwh	fct_access_wap_2012_08	11286049	11286050	OK
dwh	dwh	fct_access_wap_2012_09	5945341	5945342	OK
dwh	dwh	fct_access_wap_2012_10	12795588	12795589	OK
dwh	dwh	fct_access_wap_2012_11	12937106	12937107	OK
dwh	dwh	fct_access_wap_2013_05	15780298	15780299	OK
dwh	dwh	fct_access_wap_2013_10	6264204	6264205	OK
dwh	dwh	fct_access_wap_2013_11	6465798	6465799	OK
dwh	dwh	fct_access_wap_2013_12	5048081	5048082	OK
dwh	dwh	fct_access_wap_2014_01	3931722	3931723	OK
dwh	dwh	fct_access_wap_2014_02	3265914	3265915	OK
dwh	dwh	fct_access_wap_2014_03	3367518	3367519	OK
dwh	dwh	fct_access_wap_2014_04	2871475	2871476	OK
dwh	dwh	fct_access_wap_2014_05	2603510	2603511	OK
dwh	dwh	fct_access_wap_2014_06	2542178	2542179	OK
dwh	dwh	fct_access_wap_2014_07	2322865	2322866	OK
dwh	dwh	fct_access_wap_2014_08	2155857	2155858	OK
dwh	dwh	fct_access_wap_2014_09	2075738	2075739	OK
dwh	dwh	fct_access_wap_2014_10	2091245	2091246	OK
dwh	dwh	fct_access_wap_2014_11	1717353	1717354	OK
dwh	dwh	fct_access_wap_2014_12	1669695	1669696	OK
dwh	dwh	fct_access_wap_2015_01	1656918	1656919	OK
dwh	dwh	fct_access_wap_2015_02	1509919	1509920	OK
dwh	dwh	fct_access_wap_2015_03	1440189	1440190	OK
dwh	dwh	fct_access_wap_2015_04	1369090	1369091	OK
dwh	dwh	fct_access_wap_2015_05	1260370	1260371	OK
dwh	dwh	fct_access_wap_2015_06	1068999	1069000	OK
dwh	dwh	fct_access_wap_2015_07	1033297	1033298	OK
dwh	dwh	fct_access_wap_2015_08	959751	959752	OK
dwh	dwh	fct_access_wap_2015_09	763092	763093	OK
dwh	dwh	fct_access_wap_2015_10	797620	797621	OK
dwh	dwh	fct_access_wap_2015_11	684343	684344	OK
dwh	dwh	fct_access_wap_2015_12	553448	553449	OK
dwh	dwh	fct_activacion	0	1	OK
dwh	dwh	fct_activacion_2004_12	29327	29328	OK
dwh	dwh	fct_activacion_2005_01	23467	23468	OK
dwh	dwh	fct_activacion_2005_02	21573	21574	OK
dwh	dwh	fct_activacion_2005_03	23938	23939	OK
dwh	dwh	fct_activacion_2005_04	25670	25671	OK
dwh	dwh	fct_activacion_2005_05	26143	26144	OK
dwh	dwh	fct_activacion_2005_06	26268	26269	OK
dwh	dwh	fct_activacion_2005_07	25280	25281	OK
dwh	dwh	fct_activacion_2005_08	24939	24940	OK
dwh	dwh	fct_activacion_2005_09	25454	25455	OK
dwh	dwh	fct_activacion_2005_10	27587	27588	OK
dwh	dwh	fct_activacion_2005_11	30572	30573	OK
dwh	dwh	fct_activacion_2005_12	56494	56495	OK
